CodParcela,Parcela,N,P,K,Ca,Mg,S,Cu,Mn,Fe,Zn,B,Produção
EU,42,56.56,5.2,25.1,2.5,3.0,2.1,11.3,30.7,114.1,34.6,56.9,4047.8
EU,43,52.92,5.3,22.0,2.4,3.0,2.0,13.9,36.0,280.0,36.1,48.9,3533.7
EU,45,57.68,5.4,23.0,2.9,3.1,2.5,14.7,29.9,123.9,43.7,48.1,3568.5
EU,47,54.88,4.5,23.5,2.3,2.5,2.3,13.8,33.4,110.2,35.1,38.0,3442.4
EU,48,57.12,5.0,25.6,2.7,2.8,2.5,14.9,31.9,128.3,34.4,44.9,3595.0
EST,1,59.36,3.8,24.1,1.9,2.3,3.5,12.1,81.9,41.1,24.4,45.8,4075.7
EST,2,57.40,4.0,23.5,2.2,2.8,3.3,11.4,94.2,25.6,20.7,51.4,4890.8
EST,3,63.56,4.0,24.1,1.8,2.7,3.4,10.9,69.7,32.6,23.0,64.4,4096.5
EST,4,65.80,3.7,22.0,2.5,2.9,3.2,9.9,140.8,31.3,21.7,44.6,4288.3
EST,5,57.40,4.9,20.5,2.4,2.8,3.7,10.3,85.8,27.3,19.9,44.5,4378.8
EST,6,56.28,4.2,24.6,2.3,2.4,3.6,11.5,94.3,39.6,23.5,47.6,3837.7
EST,7,57.40,3.7,24.6,2.1,2.9,3.6,11.3,80.1,36.0,24.6,41.8,3912.6
EST,8,58.80,4.6,22.5,2.0,2.5,3.1,12.5,395.1,28.6,25.1,52.6,5018.0
EST,9,55.44,3.1,22.5,2.3,2.7,3.3,10.2,102.8,30.2,30.0,45.0,4330.4
EST,10,56.56,4.0,23.0,2.1,2.8,3.3,11.8,71.3,39.1,23.4,41.6,3496.9
EST,11,53.20,3.5,22.5,2.0,2.8,3.7,10.3,76.2,29.3,29.6,43.4,3837.7
EST,12,64.12,3.4,23.5,2.0,2.7,3.2,11.4,367.9,33.4,26.9,44.5,3645.8
EST,13,70.56,2.9,23.5,2.2,3.0,3.5,9.3,67.9,30.5,27.8,40.4,4766.9
EST,14,53.76,2.7,23.5,2.5,2.7,3.4,10.2,85.2,30.2,36.2,42.1,2485.7
EST,15,69.44,3.1,23.0,2.3,2.4,3.5,9.2,68.2,30.0,33.6,39.7,1113.5
EST,16,60.76,3.7,23.0,2.2,3.2,3.5,10.5,72.5,28.8,24.3,44.0,4119.9
EST,17,60.34,3.6,24.1,1.6,2.0,3.4,10.0,38.9,35.0,25.8,42.2,3970.2
EST,18,57.12,3.5,24.1,2.4,2.8,3.1,11.8,72.6,33.8,26.4,42.4,4877.8
EST,19,75.32,2.6,22.5,2.4,2.6,3.0,8.0,297.9,28.0,33.0,36.5,3857.9
EST,20,54.88,3.3,22.5,1.9,2.6,3.5,10.2,59.8,32.8,25.6,44.0,4650.1
EST,21,65.24,5.4,23.5,2.1,2.7,3.8,11.9,63.0,31.8,26.1,48.2,3817.4
EST,22,55.72,3.9,23.5,2.3,3.0,3.3,11.7,65.1,33.3,27.9,39.6,4562.8
EST,23,58.80,3.3,24.1,1.8,2.0,3.1,10.8,93.1,36.5,28.4,43.4,3475.9
EST,24,60.48,4.2,30.7,2.0,2.6,3.3,11.9,82.0,35.8,26.3,41.2,4219.7
EST,25,55.44,4.4,24.6,2.2,2.9,3.3,10.2,109.1,31.2,24.0,46.0,4067.5
EST,26,59.64,4.1,25.1,1.9,2.3,3.5,11.7,83.6,32.6,23.3,42.7,3910.9
EST,27,58.52,5.9,23.0,1.9,2.7,3.2,11.4,97.8,36.3,26.4,44.5,3764.4
EST,28,61.04,4.0,23.0,2.4,2.7,3.3,12.2,83.4,37.7,27.9,43.4,4288.3
EST,29,63.00,3.8,23.5,2.3,2.9,3.9,10.9,98.7,28.4,21.5,47.5,4640.7
EST,31,83.44,4.1,23.5,2.2,2.7,3.6,10.9,85.8,32.3,25.6,45.1,4428.7
